Type,Mass,Luminosity,Radius,Temperature,ColorIndex,AbsMag,BoloCorr,BoloMag,ColorRGB
S2VI,0.2,8.85e-03,3.22e-01,3167,1.65,12.6,-2.72,9.88,255196131
S3Ia0,13.8,5.07e+06,7.89e+03,3130,1.67,-9.2,-2.81,-12.01,255192118
S3Ia,11.6,7.33e+05,3.00e+03,3130,1.67,-7.1,-2.81,-9.91,255192118
S3Ib,9.3,1.68e+05,1.44e+03,3130,1.67,-5.5,-2.81,-8.31,255192118
S3II,7.1,1.40e+04,4.14e+02,3130,1.67,-2.8,-2.81,-5.61,255201119
S3III,4.8,1.84e+03,1.50e+02,3130,1.67,-0.6,-2.81,-3.41,255200119
S3IV,2.6,7.76e+01,3.36e+01,3000,1.74,3.2,-3.18,0.02,255210156
S3V,0.3,1.78e-02,5.09e-01,3000,1.74,12.3,-3.18,9.12,255206129
S3VI,0.2,4.90e-03,2.67e-01,3000,1.74,13.7,-3.18,10.52,255206129
S4Ia0,13.2,8.38e+06,1.15e+04,2940,1.77,-9.2,-3.36,-12.56,255185104
S4Ia,11.0,1.10e+06,4.18e+03,2940,1.77,-7.0,-3.36,-10.36,255185104
S4Ib,8.9,2.77e+05,2.09e+03,2940,1.77,-5.5,-3.36,-8.86,255185104
S4II,6.7,2.31e+04,6.04e+02,2940,1.77,-2.8,-3.36,-6.16,255199114
S4III,4.6,2.77e+03,2.09e+02,2940,1.77,-0.5,-3.36,-3.86,255206127
S4IV,2.4,1.27e+02,4.83e+01,2833,1.83,3.2,-3.71,-0.51,255209155
S4V,0.3,1.06e-02,4.40e-01,2833,1.83,13.4,-3.71,9.69,255201127
S4VI,0.1,2.66e-03,2.21e-01,2833,1.83,14.9,-3.71,11.19,255201127
S5Ia0,12.5,1.53e+07,1.78e+04,2750,1.88,-9.2,-4.01,-13.21,255178078
S5Ia,10.5,2.02e+06,6.45e+03,2750,1.88,-7.0,-4.01,-11.01,255178078
S5Ib,8.4,5.07e+05,3.23e+03,2750,1.88,-5.5,-4.01,-9.51,255178078
S5II,6.4,4.62e+04,9.76e+02,2750,1.88,-2.9,-4.01,-6.91,255197110
S5III,4.3,5.07e+03,3.23e+02,2750,1.88,-0.5,-4.01,-4.51,255197124
S5IV,2.3,2.07e+02,6.94e+01,2667,1.93,3.3,-4.34,-1.04,255209154
S5V,0.2,6.24e-03,3.81e-01,2667,1.93,14.6,-4.34,10.26,255204111
S5VI,0.1,1.72e-03,2.00e-01,2667,1.93,16.0,-4.34,11.66,255204111
S6Ia0,12.4,2.88e+07,2.81e+04,2560,2.00,-9.1,-4.80,-13.90,255171052
S6Ia,10.3,4.17e+06,1.07e+04,2560,2.00,-7.0,-4.80,-11.80,255171052
S6Ib,8.3,9.55e+05,5.12e+03,2560,2.00,-5.4,-4.80,-10.20,255171052
S6II,6.3,9.55e+04,1.62e+03,2560,2.00,-2.9,-4.80,-7.70,255195105
S6III,4.2,9.55e+03,5.12e+02,2560,2.00,-0.4,-4.80,-5.20,255178121
S6IV,2.2,4.10e+02,1.11e+02,2500,2.03,3.3,-5.08,-1.78,255208153
S6V,0.2,4.50e-03,3.68e-01,2500,2.03,15.7,-5.08,10.62,255195112
S6VI,0.1,1.63e-03,2.22e-01,2500,2.03,16.8,-5.08,11.72,255195112
S7Ia0,12.3,6.96e+07,5.10e+04,2370,2.12,-9.1,-5.76,-14.86,255164026
S7Ia,10.2,9.18e+06,1.85e+04,2370,2.12,-6.9,-5.76,-12.66,255164026
S7Ib,8.2,2.10e+06,8.87e+03,2370,2.12,-5.3,-5.76,-11.06,255164026
S7II,6.2,2.53e+05,3.07e+03,2370,2.12,-3.0,-5.76,-8.76,255193100
S7III,4.2,2.10e+04,8.87e+02,2370,2.12,-0.3,-5.76,-6.06,255165097
S7IV,2.1,9.26e+02,1.92e+02,2333,2.14,3.3,-5.97,-2.67,255207152
S7V,0.1,3.69e-03,3.83e-01,2333,2.14,16.8,-5.97,10.83,255197111
S7VI,0.1,1.94e-03,2.78e-01,2333,2.14,17.5,-5.97,11.53,255197111
S8Ia0,12.1,2.05e+08,1.03e+05,2180,2.25,-9.1,-6.93,-16.03,255157000
S8Ia,10.1,2.70e+07,3.76e+04,2180,2.25,-6.9,-6.93,-13.83,255157000
S8Ib,8.1,5.15e+06,1.64e+04,2180,2.25,-5.1,-6.93,-12.03,255157000
S8II,6.1,7.44e+05,6.23e+03,2180,2.25,-3.0,-6.93,-9.93,255192096
S8III,4.1,5.15e+04,1.64e+03,2180,2.25,-0.1,-6.93,-7.03,255167097
S8IV,2.1,2.44e+03,3.61e+02,2167,2.26,3.3,-7.02,-3.72,255206151
S8V,0.1,3.53e-03,4.34e-01,2167,2.26,17.9,-7.02,10.88,255198109
S8VI,0.1,2.44e-03,3.61e-01,2167,2.26,18.3,-7.02,11.28,255198109
S9Ia0,12.0,7.11e+08,2.31e+05,1990,2.40,-9.0,-8.38,-17.38,255157000
S9Ia,10.0,1.03e+08,8.79e+04,1990,2.40,-6.9,-8.38,-15.28,255157000
S9Ib,8.0,1.79e+07,3.67e+04,1990,2.40,-5.0,-8.38,-13.38,255157000
S9II,6.0,2.83e+06,1.46e+04,1990,2.40,-3.0,-8.38,-11.38,255190091
S9III,4.1,1.79e+05,3.67e+03,1990,2.40,0.0,-8.38,-8.38,255233154
S9IV,2.1,7.91e+03,7.64e+02,2000,2.39,3.3,-8.30,-5.00,255205150
S9V,0.1,4.15e-03,5.53e-01,2000,2.39,19.0,-8.30,10.70,255198108
S9VI,0.1,4.15e-03,5.53e-01,2000,2.39,19.0,-8.30,10.70,255198108
DA0,1.1,6.91e+00,9.02e-03,100000,-0.37,10.2,-7.55,2.65,155178255
DA1,0.9,2.65e-01,6.96e-03,50400,-0.35,10.8,-4.61,6.19,159181255
DA2,0.8,2.55e-02,8.64e-03,25200,-0.27,11.4,-2.67,8.73,168189255
